,Epoch Number,Train Error,Train Loss,Time Elapsed Train,Epoch Number,Test Error,Test Loss,Time Elapsed Test
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.38238000869750977,1.1404914296403224,0.9438045024871826,1.0,0.32270002365112305,0.9636409133672714,0.3064858913421631
2,2.0,0.28369998931884766,0.8561707047783599,0.8934049606323242,2.0,0.3041999936103821,0.9041340351104736,0.33537721633911133
3,3.0,0.24911999702453613,0.7594640242810152,0.8476097583770752,3.0,0.2932000160217285,0.8793411731719971,0.3487377166748047
4,4.0,0.22472000122070312,0.69313239564701,0.9890565872192383,4.0,0.2919999957084656,0.8673356771469116,0.2858424186706543
5,5.0,0.20698004961013794,0.6424800303517556,0.8769536018371582,5.0,0.29050004482269287,0.8619788587093353,0.326155424118042
6,6.0,0.1917000412940979,0.6015252762911271,0.8692293167114258,6.0,0.29110002517700195,0.8620401471853256,0.34484028816223145
7,7.0,0.17875999212265015,0.5669386830865121,0.8731424808502197,7.0,0.2932000160217285,0.8684009701013565,0.27119946479797363
8,8.0,0.1682800054550171,0.5368280821308797,0.8440661430358887,8.0,0.29430001974105835,0.8780014514923096,0.28404784202575684
9,9.0,0.15886002779006958,0.5104175082274846,1.0701007843017578,9.0,0.29680001735687256,0.8853847920894623,0.2795751094818115
10,10.0,0.14920002222061157,0.48713612009067925,1.1092562675476074,10.0,0.29770004749298096,0.8897130250930786,0.3346405029296875
11,11.0,0.14164000749588013,0.4664159633067189,0.8712632656097412,11.0,0.2972000241279602,0.8931468427181244,0.26772618293762207
12,12.0,0.1341800093650818,0.447866894456805,1.0649170875549316,12.0,0.29809999465942383,0.8971375405788422,0.33103132247924805
13,13.0,0.1285400390625,0.43121337464877535,0.8806807994842529,13.0,0.2986000180244446,0.9020607560873032,0.30423569679260254
14,14.0,0.12244004011154175,0.4161868484652772,1.0384011268615723,14.0,0.2979000210762024,0.9082689851522445,0.2977597713470459
15,15.0,0.11750000715255737,0.4024793615146559,1.0801804065704346,15.0,0.29820001125335693,0.9164505183696747,0.2968626022338867
16,16.0,0.11191999912261963,0.3897502651932288,0.9829375743865967,16.0,0.2985000014305115,0.9257351458072662,0.30721020698547363
17,17.0,0.10734003782272339,0.3777039029768535,1.0385143756866455,17.0,0.2996000051498413,0.9333671152591705,0.30570340156555176
18,18.0,0.1032400131225586,0.36607120170885205,0.8535332679748535,18.0,0.30020004510879517,0.9398316264152526,0.3020443916320801
19,19.0,0.0994800329208374,0.35468187639299703,0.8286037445068359,19.0,0.30340003967285156,0.9485838800668717,0.2894287109375
20,20.0,0.09528005123138428,0.34373021353872457,0.9079511165618896,20.0,0.3051000237464905,0.9613193720579147,0.29849720001220703
21,21.0,0.0910000205039978,0.333515149142061,1.0238471031188965,21.0,0.3088000416755676,0.9754616558551789,0.304750919342041
22,22.0,0.08718001842498779,0.3241494679633452,1.0192835330963135,22.0,0.31029999256134033,0.987779775261879,0.3566935062408447
23,23.0,0.08438003063201904,0.31551503207610576,0.9977974891662598,23.0,0.3109000325202942,0.9977622926235199,0.3113210201263428
24,24.0,0.08140003681182861,0.30748188373993857,0.9081282615661621,24.0,0.31029999256134033,1.0065325140953063,0.34410524368286133
25,25.0,0.07899999618530273,0.2999451414358859,0.8923068046569824,25.0,0.3116000294685364,1.0152697443962098,0.33519434928894043
26,26.0,0.07572001218795776,0.29283261283928036,1.0830442905426025,26.0,0.31310003995895386,1.0243978261947633,0.3275175094604492
27,27.0,0.07318001985549927,0.2860716547893018,0.9634284973144531,27.0,0.3134000301361084,1.0340106159448623,0.2786550521850586
28,28.0,0.07104003429412842,0.2795935007078307,0.9499380588531494,28.0,0.31470000743865967,1.0440951973199843,0.2991313934326172
29,29.0,0.06878000497817993,0.2733049575163394,1.0762608051300049,29.0,0.3148000240325928,1.0544149845838546,0.3046286106109619
30,30.0,0.0671200156211853,0.2671571842261723,0.8775711059570312,30.0,0.3160000443458557,1.0640488535165786,0.3335287570953369
31,31.0,0.06516003608703613,0.26112802645989824,0.9735691547393799,31.0,0.31630003452301025,1.0716699540615082,0.3192315101623535
32,32.0,0.06296002864837646,0.255198991268265,0.970543384552002,32.0,0.3163999915122986,1.076616758108139,0.29682207107543945
33,33.0,0.06132000684738159,0.24939197773227886,0.9060289859771729,33.0,0.31450003385543823,1.0797659903764725,0.3075833320617676
34,34.0,0.059599995613098145,0.2436997514902329,1.031928539276123,34.0,0.3135000467300415,1.0833318710327149,0.33510327339172363
35,35.0,0.057340025901794434,0.2381620753784569,0.8716895580291748,35.0,0.3126000165939331,1.0895585805177688,0.28859663009643555
36,36.0,0.054840028285980225,0.23281282087673946,0.8698866367340088,36.0,0.31310003995895386,1.099271622300148,0.27876901626586914
