,Epoch Number,Image 1 Train Loss,Image 2 Train Loss,Embedding Train Loss,Total Train Loss,Time Elapsed Train,Epoch Number,Image 1 Test Loss,Image 2 Test Loss,Embedding Test Loss,Total Test Loss,Time Elapsed Test
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.046869538306277624,0.04683946973967309,0.3956924365804892,0.09370962659619292,102.24664878845215,1.0,0.03554182574152946,0.03556898459792137,0.25576639994978906,0.07111121118068695,20.305321216583252
2,2.0,0.0341492304008226,0.03418014035085026,0.23781516053238694,0.06832974236838672,102.07139468193054,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,0.03293736480480554,0.03287009343656958,0.200259301431325,0.0658077711657602,102.56284523010254,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,0.03203576071453946,0.03205590524083497,0.19645421495851206,0.06409197327281747,102.03082013130188,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,0.03160041570663452,0.031557010923873405,0.18642026778994775,0.06315771783036846,102.17363595962524,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.031260059823339084,0.031197647069941978,0.17413724654791307,0.06245797918159134,102.81715035438538,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,0.030947849838709345,0.030883182885543425,0.16619975363113443,0.061831292373185257,102.95803022384644,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,0.030665953814679264,0.03074068990441001,0.1610821648215761,0.061406895556316086,101.98001027107239,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,0.030640577270212223,0.03062653762041306,0.15695272218816134,0.061267360018528234,103.32420134544373,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,0.030458900754397014,0.030460665667695657,0.15229045478056888,0.060919804156434776,102.86658334732056,10.0,0.03104392969980836,0.031136819906532765,0.157214218378067,0.06218099631369114,20.196046590805054
11,11.0,0.03019938363256503,0.03025987124716749,0.14637071532862528,0.060459483680980544,102.11582374572754,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,0.030226063268373207,0.030235137524349347,0.14434227256142362,0.0604614261917922,101.95958185195923,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,0.030137319706988578,0.03015407009468395,0.1443272304474091,0.060291615371801416,101.78819799423218,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,0.02994706884634738,0.02997325296152611,0.14146028109350983,0.05992054304450142,103.28188109397888,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,0.029934491487029865,0.02990235519424385,0.13803035302125677,0.0598370624440057,102.52654433250427,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,0.02970594352073207,0.029745605717204054,0.1384988041708664,0.05945176543781952,101.57671475410461,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,0.029715697585167934,0.029701582612279728,0.1342917105981282,0.0594174899160862,102.4690933227539,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,0.02970953914812025,0.029658852240108714,0.138142107928894,0.05936860734102677,101.79079794883728,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,0.029575384412036866,0.029614387992389347,0.1344689547407384,0.05918998237015033,102.97757077217102,0.0,0.0,0.0,0.0,0.0,0.0
20,20.0,0.0294847768560356,0.029475880881809458,0.13768103429857564,0.0589608728733598,103.27035331726074,20.0,0.030127702932804822,0.03011229941621423,0.14600116088986398,0.060240229964256285,20.603769779205322
21,21.0,0.0294859256329281,0.02947707076994132,0.1348836967835621,0.05896320737594245,102.40987753868103,0.0,0.0,0.0,0.0,0.0,0.0
